project,smellname,percentage
kurotu@VRCQuestTools,AssertionRoulette,88.57142857142857
kyleqian@SOUNDS-OF-THE-WOODS,AssertionRoulette,-0.001
Louis-de-Lavenne-de-Choulot@ALGOSUP_2022_Project_4_F,AssertionRoulette,-0.001
M0000000N@KGA_SUPERmetaVR,AssertionRoulette,-0.001
MaddieFish@Echoes-of-the-Tides,AssertionRoulette,-0.001
marcusleeeugene@FireBusters-VR,AssertionRoulette,-0.001
MartinHahner@VR_GAME_2017,AssertionRoulette,-0.001
Mastergalen@Supermarket-Sim,AssertionRoulette,-0.001
mateo-a@holbertonschool-csharp,AssertionRoulette,0.0
Math0424@SpaceEngineersVR,AssertionRoulette,-0.001
matryx@calcflow,AssertionRoulette,-0.001
MatthewSloyan@final-year-applied-project-and-minor-dissertation,AssertionRoulette,0.0
mattrdowney@planetaria,AssertionRoulette,37.5
mayankrastogi@EveryDayIsHalloween,AssertionRoulette,-0.001
Mayor-Cam@VR-Disk-Wars,AssertionRoulette,-0.001
MayouKurayami@KK_CyuVR,AssertionRoulette,-0.001
MayouKurayami@KK_SetParentVR,AssertionRoulette,-0.001
mhwlng@fip-elite,AssertionRoulette,-0.001
MinadukiSekina@VRCToolBox,AssertionRoulette,-0.001
MirianaMartini@VANGogh,AssertionRoulette,-0.001
mobfishgmbh@Cardboard-VR-Unity-SDK,AssertionRoulette,-0.001
monkog@3D-Virtual-Fitting-Room,AssertionRoulette,-0.001
MoonMotionProject@MoonMotion,AssertionRoulette,-0.001
MozillaReality@FirefoxRealityPC,AssertionRoulette,-0.001
MPIB@arc-vr,AssertionRoulette,-0.001
mrdofu@PacmanVR,AssertionRoulette,-0.001
myieye@cube-arena,AssertionRoulette,0.0
mynameisjohn@wrapVR,AssertionRoulette,-0.001
nadir500@USN-VR-Unilateral-spatial-neglect-virtual-reality,AssertionRoulette,39.130434782608695
NathanJVella@VR-Space-Game,AssertionRoulette,-0.001
neos-modding-group@NeosModLoader,AssertionRoulette,-0.001
NgoJunHaoJason@CZ4001,AssertionRoulette,-0.001
nicoco007@DynamicOpenVR,AssertionRoulette,-0.001
nikhilnxvverma1@vr-photo-album,AssertionRoulette,-0.001
njm2360@VRChatGPUTool,AssertionRoulette,-0.001
Noxalus@VR-Escape-Room,AssertionRoulette,-0.001
oliviasculley@nervv,AssertionRoulette,-0.001
omar92@RhythmAttack-VR,AssertionRoulette,-0.001
omikun@OrbitalVector,AssertionRoulette,-0.001
onejgordon@gaze_lanterns,AssertionRoulette,-0.001
Oscheibe@ARIndoorNav,AssertionRoulette,-0.001
OSVR@OSVR-Unity,AssertionRoulette,-0.001
OSVR@OSVR-Unity-Palace-Demo,AssertionRoulette,-0.001
PastaTime@DataRepVR,AssertionRoulette,10.0
paulmriordan@MusicVR,AssertionRoulette,-0.001
pcriadoperez@readyPlayer2,AssertionRoulette,-0.001
pemami4911@V-RAVE,AssertionRoulette,-0.001
PfeifferMicha@imhotep,AssertionRoulette,-0.001
PierreGe@VR-Picture-Browser,AssertionRoulette,-0.001
PKBeam@Edda,AssertionRoulette,-0.001
pkshetlie@RagnaCustomsApp,AssertionRoulette,-0.001
plaidpants@ANKH-VR,AssertionRoulette,-0.001
POINT-VR@POINT-VR-Chapter-1,AssertionRoulette,-0.001
popabczhang@CityMatrixAR,AssertionRoulette,-0.001
pupil-labs@hmd-eyes,AssertionRoulette,-0.001
quintesse@PlayoVR,AssertionRoulette,-0.001
Rafapp@SJSU-MaterialsEngineering-VR-lab,AssertionRoulette,-0.001
Raicuparta@nomai-vr,AssertionRoulette,-0.001
Raicuparta@two-forks-vr,AssertionRoulette,-0.001
RaithSphere@NeosVR-Stuff,AssertionRoulette,-0.001
rbennett22@Zelda_VR,AssertionRoulette,-0.001
realitycollective@com.realitytoolkit.core,AssertionRoulette,69.44444444444444
RealityVirtually2019@SoundSpace,AssertionRoulette,-0.001
rh-galaxy@galaxyvr,AssertionRoulette,-0.001
RhubarbVR@RhubarbVR,AssertionRoulette,-0.001
RhubarbVR@RhubarbVR_Old,AssertionRoulette,-0.001
ricardo1470@holbertonschool-unity,AssertionRoulette,-0.001
Rigaro@VRProEP,AssertionRoulette,-0.001
robcog-iai@RobCoG,AssertionRoulette,-0.001
ronellsicat@DxR,AssertionRoulette,-0.001
RussellXie7@Unity_Hololens_Dev,AssertionRoulette,0.0
S00177754@Project300,AssertionRoulette,-0.001
Saarg@Dungeon-VR,AssertionRoulette,-0.001
Saticmotion@Vivista,AssertionRoulette,-0.001
Sauceke@LoveMachine,AssertionRoulette,-0.001
sayakbiswas@Procrastination-VR,AssertionRoulette,-0.001
scott0123@1-HP-Wizard,AssertionRoulette,-0.001
SGNLA@unity-arkit-plugin,AssertionRoulette,-0.001
sh-akira@VirtualMotionCapture,AssertionRoulette,-0.001
ShanguUncle@UnityChatSDK,AssertionRoulette,-0.001
SkinnyDevi@MU-VR-Experience,AssertionRoulette,-0.001
SMBenedict173@General-Anesthesia-Simulator,AssertionRoulette,45.289855072463766
SpaceVR-O1@Human,AssertionRoulette,-0.001
spandananitdgp@Egyptian-Mummification-VR-Experience,AssertionRoulette,-0.001
stefaanvermassen@virtual-museum-app,AssertionRoulette,29.166666666666668
takafumihoriuchi@SmartCodesignVR,AssertionRoulette,-0.001
tana@Mondeto,AssertionRoulette,27.27272727272727
Team-on@UnityGameTemplate,AssertionRoulette,-0.001
Teamprojekt-SS2018@VR_Menschenstroeme,AssertionRoulette,-0.001
tetra-fox@VRCMods,AssertionRoulette,-0.001
TheFitzZZ@DCS-Config-Manager,AssertionRoulette,-0.001
TomorrowTodayLabs@NewtonVR,AssertionRoulette,-0.001
TrevTV@DawnVR,AssertionRoulette,-0.001
TritonXR@VRUniverse,AssertionRoulette,-0.001
ttanatb@VRsus-guARdian,AssertionRoulette,-0.001
tterpi@VRSketchingGeometry,AssertionRoulette,57.35294117647059
Twometer@twometer-vr,AssertionRoulette,-0.001
ucsdlib@geiselVR,AssertionRoulette,-0.001
ultraleap@UnityPlugin,AssertionRoulette,-0.001
ultraleap@XR-Keyboard,AssertionRoulette,-0.001
UMI3D@UMI3D-SDK,AssertionRoulette,42.586750788643535
Unity-Technologies@EditorXR,AssertionRoulette,64.28571428571429
Unity-Technologies@InputSystem,AssertionRoulette,43.956043956043956
Unity-Technologies@VRAlchemyLab,AssertionRoulette,-0.001
UniVR@GolfVR,AssertionRoulette,-0.001
unshame@VRProjectMKIII,AssertionRoulette,-0.001
uqidoacademy@PhysiotherapyVR,AssertionRoulette,-0.001
ur-whitelab@simview,AssertionRoulette,-0.001
vihanchaudhry@vroom,AssertionRoulette,-0.001
vimeo@vimeo-unity-sdk,AssertionRoulette,26.041666666666668
virtuallynaked@virtually-naked,AssertionRoulette,-0.001
VIRTUE-DBIS@virtual-exhibition-presenter,AssertionRoulette,-0.001
vitrivr@vitrivr-vr,AssertionRoulette,-0.001
Vivek-sagar@WeCanTango,AssertionRoulette,-0.001
Vivero@Kerbal-VR,AssertionRoulette,-0.001
ViveSoftware@ViveInputUtility-Unity,AssertionRoulette,-0.001
VolcanicArts@VRCOSC,AssertionRoulette,-0.001
Vova-SH@AirAttack,AssertionRoulette,-0.001
VPRL@Virginia-Philosophy-Reality-Lab,AssertionRoulette,-0.001
vradarserver@vrs,AssertionRoulette,-0.001
VRatPolito@LET-VR,AssertionRoulette,-0.001
VRCBilliards@vrcbce,AssertionRoulette,-0.001
vrchatapi@vrchatapi-csharp,AssertionRoulette,-0.001
VRcolVento@ChatVRoom,AssertionRoulette,-0.001
vrm-c@UniVRM,AssertionRoulette,52.17391304347826
VRTRIX@VRTRIXGlove_Unity3D_SDK,AssertionRoulette,-0.001
VRUX-CO@VRDesignLab,AssertionRoulette,-0.001
watson-developer-cloud@unity-sdk,AssertionRoulette,91.34615384615384
WebGLHitASnag@VR-Project-2,AssertionRoulette,-0.001
Wellwick@IVVR,AssertionRoulette,-0.001
WetzoldStudios@traVRsal-sdk,AssertionRoulette,100.0
whx-prog@The-Seed-Link-Future,AssertionRoulette,-0.001
widVE@UniCAVE,AssertionRoulette,-0.001
willychang21@MapboxARGame,AssertionRoulette,39.175257731958766
woosungkim@LeapMotionVRInterface,AssertionRoulette,-0.001
Xenocide93@MultiplayerFPSCardboardGame,AssertionRoulette,-0.001
xiaopeng12138@MaiDXR,AssertionRoulette,-0.001
xiaopeng12138@WACVR,AssertionRoulette,-0.001
xiaoye97@VRoidChinese,AssertionRoulette,-0.001
xire-@graphulus,AssertionRoulette,-0.001
XRTK@com.xrtk.core,AssertionRoulette,73.97260273972603
XxGodmoonxX@AR-AwaParty,AssertionRoulette,-0.001
XxGodmoonxX@Augmented-Nightclub-Experience,AssertionRoulette,-0.001
yanorei32@VRChatRejoinTool,AssertionRoulette,-0.001
yutakasi634@Coral-iMD-VR,AssertionRoulette,-0.001
